,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
0,18,5,10,8,4,0
1,18,5,1,8,4,0
2,18,5,1,8,4,0
3,18,5,1,8,4,0
4,18,5,1,8,4,0
5,18,5,1,8,4,0
6,18,5,1,8,4,0
7,18,5,1,8,4,0
8,18,5,1,8,4,0
9,18,5,1,8,4,0
10,18,5,1,8,4,0
11,18,5,1,8,4,0
12,18,5,1,8,4,0
13,18,6,1,8,4,0
14,18,5,1,8,4,0
15,18,6,1,8,4,0
16,18,5,1,8,4,0
17,18,5,1,8,4,0
18,9,7,7,7,3,0
19,19,6,11,8,4,0
20,18,5,1,8,4,0
21,18,6,1,8,4,0
22,18,5,1,8,4,0
23,18,6,8,0,2,0
24,18,5,10,8,3,0
25,15,5,6,5,3,1
26,18,6,6,7,3,0
27,18,7,8,8,2,1
28,27,6,10,6,4,0
29,19,7,11,1,0,0
30,19,7,11,1,1,1
31,18,6,6,7,3,1
32,27,7,10,5,2,0
33,9,4,6,7,1,0
34,9,6,11,7,3,0
35,9,5,10,7,3,0
36,19,5,6,8,3,1
37,18,7,8,7,3,0
38,5,7,6,1,2,0
39,19,7,11,4,1,0
40,9,6,11,6,4,0
41,9,7,10,0,2,1
42,18,6,8,6,3,1
43,2,6,8,8,4,0
44,9,6,10,7,4,0
45,15,6,10,8,4,1
46,15,6,6,8,4,1
47,19,7,11,8,4,1
48,15,6,6,8,4,1
49,0,6,11,8,4,0
50,18,6,11,7,4,0
51,15,6,10,8,4,0
52,9,6,11,3,4,1
53,15,6,6,8,4,1
54,9,6,8,7,3,0
55,19,6,8,7,3,0
56,9,4,8,6,3,0
57,5,7,8,0,2,0
58,27,5,11,5,3,0
59,18,5,10,8,2,1
60,9,5,8,7,3,0
61,18,5,11,7,3,0
62,19,5,8,8,3,0
63,19,5,6,4,2,1
64,19,5,10,6,3,0
65,15,5,8,8,2,1
66,19,6,10,7,4,0
67,19,6,11,6,3,0
68,27,7,11,8,2,0
69,18,7,6,8,2,0
70,18,5,10,6,3,0
71,9,7,8,0,2,0
72,19,5,10,8,3,0
73,9,6,6,5,3,0
74,15,6,8,8,4,1
75,15,6,6,8,4,1
76,15,6,10,8,4,1
77,15,6,11,8,4,1
78,25,7,10,7,3,1
79,10,5,11,7,4,0
80,18,5,10,8,3,1
81,9,7,8,7,3,0
82,9,6,11,6,0,0
83,18,7,8,6,3,0
84,19,6,10,7,4,0
85,18,6,10,4,4,0
86,15,6,8,8,4,1
87,9,6,10,7,4,0
88,15,6,6,8,4,1
89,15,6,10,8,4,1
90,15,6,11,8,4,1
91,15,6,8,8,4,1
92,15,6,6,8,4,0
93,9,6,8,7,4,0
94,15,6,11,8,4,1
95,19,7,10,6,3,0
96,27,5,6,8,3,1
97,15,6,7,8,4,0
98,18,7,6,7,3,0
99,19,4,8,7,3,0
100,19,5,8,7,3,0
101,18,7,11,3,3,0
102,27,7,8,7,3,1
103,18,5,6,6,3,0
104,18,5,8,8,2,1
105,19,5,8,8,2,1
106,5,7,8,8,2,1
107,18,5,8,3,2,0
108,15,5,8,8,3,1
109,18,5,8,7,3,0
110,19,6,8,7,3,0
111,10,5,8,7,2,0
112,19,7,8,8,2,0
113,19,7,8,7,3,0
114,18,7,8,8,3,0
